GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
building-4hwc,io.hwc.controller,HelloController,0,5,0,0,0,2,0,2,0,2
building-4hwc,io.hwc,Building4hwcApplication,5,3,0,0,2,1,1,1,1,1
